1;4;4;4;0.0
1;5;4;4;0.0
1;6;4;4;0.0
1;7;4;4;0.0
1;8;4;4;0.0
1;9;4;4;0.0
1;4;5;4;0.0
1;5;5;4;0.0
1;6;5;4;0.0
1;7;5;4;0.0
1;8;5;4;0.0
1;9;5;4;0.0
1;4;6;4;0.0
1;5;6;4;0.0
1;6;6;4;0.0
1;7;6;4;0.0
1;8;6;4;0.0
1;9;6;4;0.0
1;4;7;4;0.0
1;5;7;4;0.0
1;6;7;4;0.0
1;7;7;4;0.0
1;8;7;4;0.0
1;9;7;4;0.0
1;4;8;4;0.0
1;5;8;4;0.0
1;6;8;4;0.0
1;7;8;4;0.0
1;8;8;4;0.0
1;9;8;4;0.0
1;4;9;4;0.0
1;5;9;4;0.0
1;6;9;4;0.0
1;7;9;4;0.0
1;8;9;4;0.0
1;9;9;4;0.0
1;4;4;5;0.0
1;5;4;5;0.0
1;6;4;5;0.0
1;7;4;5;0.0
1;8;4;5;0.0
1;9;4;5;0.0
1;4;5;5;0.0
1;5;5;5;0.0
1;6;5;5;0.0
1;7;5;5;0.0
1;8;5;5;0.0
1;9;5;5;0.0
1;4;6;5;0.0
1;5;6;5;0.0
1;6;6;5;0.0
1;7;6;5;0.0
1;8;6;5;0.0
1;9;6;5;0.0
1;4;7;5;0.0
1;5;7;5;0.0
1;6;7;5;0.0
1;7;7;5;0.0
1;8;7;5;0.0
1;9;7;5;0.0
1;4;8;5;0.0
1;5;8;5;0.0
1;6;8;5;0.0
1;7;8;5;0.0
1;8;8;5;0.0
1;9;8;5;0.0
1;4;9;5;0.0
1;5;9;5;0.0
1;6;9;5;0.0
1;7;9;5;0.0
1;8;9;5;0.0
1;9;9;5;0.0
1;4;4;6;0.0
1;5;4;6;0.0
1;6;4;6;0.0
1;7;4;6;0.0
1;8;4;6;0.0
1;9;4;6;0.0
1;4;5;6;0.0
1;5;5;6;0.0
1;6;5;6;0.0
1;7;5;6;0.0
1;8;5;6;0.0
1;9;5;6;0.0
1;4;6;6;0.0
1;5;6;6;0.0
1;6;6;6;0.0
1;7;6;6;0.0
1;8;6;6;0.0
1;9;6;6;0.0
1;4;7;6;0.0
1;5;7;6;0.0
1;6;7;6;0.0
1;7;7;6;0.0
1;8;7;6;0.0
1;9;7;6;0.0
1;4;8;6;0.0
1;5;8;6;0.0
1;6;8;6;0.0
1;7;8;6;0.0
1;8;8;6;0.0
1;9;8;6;0.0
1;4;9;6;0.0
1;5;9;6;0.0
1;6;9;6;0.0
1;7;9;6;0.0
1;8;9;6;0.0
1;9;9;6;0.0
1;4;4;7;0.0
1;5;4;7;0.0
1;6;4;7;0.0
1;7;4;7;0.0
1;8;4;7;0.0
1;9;4;7;0.0
1;4;5;7;0.0
1;5;5;7;0.0
1;6;5;7;0.0
1;7;5;7;0.0
